05.06.98-exp-1	هی … اسباب‌بازی
05.06.98-exp-174	ما پولی نداریم
05.06.98-exp-175	پس چه‌طوری به ماه بریم ؟
05.06.98-exp-176	جواب معلومه
05.06.98-exp-177	ما نمی‌ریم
05.06.98-exp-178	ما نفرین شدیم
05.06.98-exp-179	حالا فکر می‌کنم فرصت خوبیه که دنبال یه کار دیگه باشین
05.06.98-exp-18	یه قصه برامون تعریف می‌کنی تا بخوابیم ؟
05.06.98-exp-180	من که درخواست کار دادم . به شما هم پیش‌نهاد می‌کنم همین کار رو کنین
05.06.98-exp-181	نمی‌بینین وسط یه جلسه‌ی مهم هستم ؟
05.06.98-exp-182	ما یه موشک برای خودمون می‌سازیم
05.06.98-exp-183	با استفاده از این و هرچیزی که به دست بیاریم
05.06.98-exp-184	هرچیزی هست جمع کنین ، برین آشغالی‌ها رو بگردین ! قطعات ماشین‌ها رو جدا کنین
05.06.98-exp-185	کی به بانک محتاجه ؟
05.06.98-exp-186	ننه ! این‌جا چی‌کار می‌کنی ؟
05.06.98-exp-187	حالا اون توی وان حموم
05.06.98-exp-188	نیگا چه کوچولویی داشته
05.06.98-exp-189	اصلاً جالب نبود
05.06.98-exp-19	ولی ما بدون قصه خواب‌مون نمی‌بره
05.06.98-exp-190	این‌جام بهترین لباس‌های پلوخوریش رو پوشیده بوده
05.06.98-exp-191	شکل دختراست
05.06.98-exp-192	شبیه یه دختر زشت
05.06.98-exp-193	برای من شکل یه جنازه‌ست
05.06.98-exp-194	پسرتون اومده
05.06.98-exp-195	بفرستش تو
05.06.98-exp-196	سلام بابا
05.06.98-exp-197	می‌خواستی منو ببینی ؟
05.06.98-exp-198	آره ویکتور . من دیگه ویکتور نیستم .
05.06.98-exp-199	« ویکتور اسم قدیمیم بود . حالا من » « وکتور » « هستم . »
05.06.98-exp-2	حالا برین ، عجله کنین
05.06.98-exp-20	خب ، پس شب طولانی‌ای در پیش خواهی داشت . مگه نه ؟
05.06.98-exp-200	می‌دونی اسلحه‌ی کوچک‌کننده کجاست ؟
05.06.98-exp-201	آره ، توی خونه‌مه
05.06.98-exp-202	واقعاً ؟ توی خونه‌ته ؟ عالیه
05.06.98-exp-203	فکر کنم گورو هم یه اسلحه دقیقاً مشابه اون اسلحه داشت
05.06.98-exp-204	اون دخترها به من شیرینی می‌فروختن
05.06.98-exp-205	هیچ می‌دونی دزدیدن ماه ، چه منفعت زیادی برامون داره ؟
05.06.98-exp-206	من بهت یه فرصت استثنایی دادم و تو خرابش کردی
05.06.98-exp-207	نه ، نکردم واقعاً ؟
05.06.98-exp-208	صبر کن تا گورو آخرین اسلحه‌ی منو ببینه
05.06.98-exp-209	پرتاب‌کننده‌ی هشت‌پا
05.06.98-exp-21	خوب بخوابین ، اجازه ندین حشرات توی تخت‌خواب گازتون بگیرن
05.06.98-exp-210	یه هشت‌پا روی صورتمه
05.06.98-exp-211	نگران نباش
05.06.98-exp-212	ماه مال ما می‌شه
05.06.98-exp-213	یالا وقت خوابه
05.06.98-exp-214	مسواک زدی ؟ بذار دهنت رو بو کنم
05.06.98-exp-215	مسواک نزدی !
05.06.98-exp-216	لباس خوابت رو بپوش مارگو ! آروم بگیرین ، جدی می‌گم !
05.06.98-exp-217	وقت لالائه . همین حالا . بازی بسه . جدی دارم می‌گم
05.06.98-exp-218	اما ما خسته نیستیم . من خسته‌ام
05.06.98-exp-219	یه قصه برامون می‌گی ؟
05.06.98-exp-22	چون اون تخت‌خواب‌ها یه عالمه حشره دارن
05.06.98-exp-220	تو رو خدا
05.06.98-exp-221	هر جوری خواهش کنی ، فرقی نمی‌کنه
05.06.98-exp-222	هنوزم جوابم نه هست ، پس بگیرین بخوابین
05.06.98-exp-223	ولی نمی‌تونیم ، ما خیلی پرانرژی هستیم
05.06.98-exp-224	بدون قصه ، ما بیدار می‌مونیم و تمام طول شب مزاحمت می‌شیم
05.06.98-exp-225	بچه‌گربه‌های خواب‌آلود
05.06.98-exp-226	بچه‌گربه‌های خواب‌آلود ؟
05.06.98-exp-227	این‌ها دیگه چی‌ان ؟ عروسک انگشتی
05.06.98-exp-228	باهاشون می‌تونی قصه بگی
05.06.98-exp-229	بذار شروع کنم
05.06.98-exp-23	مطمئنم که یه چیزی توی کمد قایم شده
05.06.98-exp-230	سه تا بچه‌گربه‌ی کوچولو دوست داشتن بازی کنن ، اون‌ها تموم روز زیر نور آفتاب بازی کرده بودن
05.06.98-exp-231	بعدش مادرشون اومد و بهشون گفت وقت خواب بچه‌گربه‌هاست
05.06.98-exp-232	وای ! چه داستان مزخرفیه . شما واقعاً از این خوش‌تون می‌آد ؟
05.06.98-exp-233	ادامه بده
05.06.98-exp-234	سه تا بچه‌گربه شروع کردن به گریه کردن
05.06.98-exp-235	مامان ، ما اصلاً خسته نیستیم
05.06.98-exp-236	مادرشون خندید و با خرخر گفت
05.06.98-exp-237	باشه ولی باید خودتون رو تمیز کنین
05.06.98-exp-238	حالا خودتون رو تمیز کنین
05.06.98-exp-239	این ادبیاته ؟
05.06.98-exp-24	اون داشت سربه‌سرت می‌ذاشت
05.06.98-exp-240	یه بچه‌ی دو ساله این رو نوشته
05.06.98-exp-241	سه تا بچه‌گربه‌ی تمیز
05.06.98-exp-242	گفتن ما نمی‌تونیم بخوابیم . ما اصلاً خواب‌مون نمی‌آد
05.06.98-exp-243	مادرشون آروم گفت
05.06.98-exp-244	باشه ولی حداقل شیرتون رو بخورین
05.06.98-exp-245	حالا باید بهشون شیر بدی
05.06.98-exp-246	از این داستان بدم می‌آد . تا ابد ادامه داره .
05.06.98-exp-247	سه تا بچه‌گربه که شیرشون رو خورده بودن ، چشماشونو مالیدن و شروع کردن به خمیازه کشیدن
05.06.98-exp-249	شب به‌خیر ، بچه‌ها . چشماتونو ببندین . آروم بخوابین تا صبح .
05.06.98-exp-25	قشنگه
05.06.98-exp-250	با این‌که وقت خواب کنار هم نیستیم ولی مادرتون از صمیم قلب شما رو دوست داره
05.06.98-exp-251	پایان بسیار خوب !
05.06.98-exp-252	صبر کن . دیگه چیه ؟
05.06.98-exp-253	ما رو نمی‌بوسی ؟
05.06.98-exp-254	خبری از بوسیدن و بغل کردن و بوسیدن نیست
05.06.98-exp-255	اون ما رو نمی‌بوسه
05.06.98-exp-256	من دوستش دارم . آدم خوبیه اما یه کم ترس‌ناکه
05.06.98-exp-257	مثل بابانوئل
05.06.98-exp-259	درباره‌ی این موضوع
05.06.98-exp-26	دخترها ، بیاین بریم
05.06.98-exp-260	داشتم فکر می‌کردم شاید بشه زمان دزدی رو عوض کرد
05.06.98-exp-261	نگو که به‌خاطر مراسم رقص اون دخترهاست . هست ؟
05.06.98-exp-262	مراسم رقص ؟ خل شدی ؟
05.06.98-exp-263	فقط فکر کردم یه کم مسخره‌ست که یک‌شنبه این کار رو کنیم
05.06.98-exp-264	داشتم به دزدی روز سه‌شنبه فکر می‌کردم .
05.06.98-exp-265	من و تو سال‌هاست داریم روی این موضوع کار می‌کنیم
05.06.98-exp-266	این چیزی بود که رؤیاش رو داشتیم
05.06.98-exp-267	فرصتی برای ساختن تاریخ
05.06.98-exp-268	تبدیل شدن به مردی که ماه رو دزدید
05.06.98-exp-269	اما این دختربچه‌ها تبدیل شدن به موضوع حواس‌پرتی تو
05.06.98-exp-27	وقت رسوندن شیرینی‌هاست
05.06.98-exp-270	اون‌ها باید برن
05.06.98-exp-271	اگه کاری در این باره نکنی ، خودم دستبه‌کار می‌شم
05.06.98-exp-272	متوجه‌ام
05.06.98-exp-273	حالا وقتی فنجون‌هامون رو بهم زدیم با هم‌دیگه می‌گیم دلینگ
05.06.98-exp-274	بفرما . حالا می‌خوریم
05.06.98-exp-275	بی خیال !
05.06.98-exp-276	نگران نباشین . الآن برمی‌گردم . شماها ادامه بدین .
05.06.98-exp-277	این‌جا چی‌کار می‌کنین ؟
05.06.98-exp-278	اومدم دنبال دختربچه‌ها . یکی تماس گرفته بود و گفته بود شما می‌خواین اون‌ها رو برگردونین
05.06.98-exp-279	درضمن ، من یه لغت‌نامه‌ی اسپانیولی خریدم
05.06.98-exp-28	ولی قبلش باید بریم کلاس رقص
05.06.98-exp-280	از چیزی که گفتی اصلاً خوشم نیومد
05.06.98-exp-281	من می‌رم آماده‌شون کنم
05.06.98-exp-282	نذار ما رو ببرن
05.06.98-exp-283	بهشون بگو که می‌خوای ما رو نگه داری
05.06.98-exp-284	بسیار خب ، دخترها . بجنبین . باید بریم .
05.06.98-exp-285	بابت همه‌چیز متشکریم
05.06.98-exp-286	این کار رو به‌خاطر خودت کردم
05.06.98-exp-287	یالا ، بیا بریم ماه رو بدزدیم
05.06.98-exp-288	این چیه ؟
05.06.98-exp-289	مراسم رقص ؟
05.06.98-exp-29	در واقع باید امروز بی‌خیال کلاس رقص بشین
05.06.98-exp-290	من نابغه‌ترین دزد شرور قرن هستم
05.06.98-exp-291	به مراسم رقص دختربچه‌ها نمی‌رم
05.06.98-exp-292	باز کردن درهای بالایی آغاز شمارش معکوس پرتاب
05.06.98-exp-294	ده ، نه ، هشت ، هفت
05.06.98-exp-295	کارت عالی بود پروفسور ، تمام دستگاه‌ها کار می‌کنن
05.06.98-exp-296	لباس پروازم
05.06.98-exp-297	یه بار دیگه وکتور بزرگ
05.06.98-exp-298	به دستش آوردم
05.06.98-exp-299	من ماه رو به دست آوردم
05.06.98-exp-3	اون‌ها چی‌ان ؟
05.06.98-exp-30	در واقع نمی‌تونیم امروز بی‌خیال کلاس رقص بشیم
05.06.98-exp-300	می‌تونم به مراسم رقص برسم
05.06.98-exp-301	یه لحظه صبر کن
05.06.98-exp-302	اون هنوز نیومده
05.06.98-exp-303	برای چی باید بیاد ؟ اون ما رو ول کرد
05.06.98-exp-304	اما اون بهم قول داده بود
05.06.98-exp-305	دخترها ! برین سر جاتون
05.06.98-exp-306	هنوز نمی‌تونیم شروع کنیم . ما منتظر یه نفر هستیم
05.06.98-exp-307	می‌شه چند دقیقه دیگه صبر کنیم ؟
05.06.98-exp-308	بسیار خب ولی فقط چند دقیقه
05.06.98-exp-309	اون نمی‌آد بچه‌ها
05.06.98-exp-31	به‌زودی باید در مراسم رقص مهمی شرکت کنیم
05.06.98-exp-310	صدامو می‌شنوی ؟
05.06.98-exp-311	بجنب ، باید بهش اخطار بدیم ، خیلی سریع .
05.06.98-exp-312	خب . کتاب‌خونه اون‌جاست .
05.06.98-exp-313	اون هم خیابون سوم . اون‌جا هم سالن رقص !
05.06.98-exp-314	اون‌جا ! اون‌جاست .
05.06.98-exp-315	معذرت می‌خوام . نمایش تموم شد .
05.06.98-exp-316	تموم شده ؟
05.06.98-exp-317	ماه رو بیار
05.06.98-exp-318	وکتور ، باز کن
05.06.98-exp-319	اول ماه رو بده به من ، بعدش صحبت می‌کنیم
05.06.98-exp-32	ما باید قسمتی از نمایش رقص قو رو اجرا کنیم . آره ، رقص قو .
05.06.98-exp-320	ساکت شو کوچولو
05.06.98-exp-321	حالا ، دخترها
05.06.98-exp-322	راستش رو بخوای ، فکر کردم یه مدت بیش‌تر نگه‌شون دارم
05.06.98-exp-323	آره ، من غیرقابل پیش‌بینی‌ام
05.06.98-exp-324	خوب گوش کن ، عوضی کوچولو !
05.06.98-exp-325	تو حسابی توی دردسر می‌افتی
05.06.98-exp-326	واقعاً ترسیدم
05.06.98-exp-327	اون پدرت رو درمی‌آره
05.06.98-exp-328	چی ؟! اون زد توی دهنم
05.06.98-exp-329	طاقت بیار
05.06.98-exp-33	این عالیه . معرکه‌ست .
05.06.98-exp-330	وکتور دخترها رو گرفته ، برو
05.06.98-exp-331	چه اتفاقی برای سفینه افتاده ؟!
05.06.98-exp-332	اون دوباره بزرگ شده ، نه به بزرگی‌ای که ماه می‌شه .
05.06.98-exp-333	هرچه جسمی بزرگ‌تر باشه ، اثر کوچک شدن زودتر از بین می‌ره
05.06.98-exp-334	اسمش رو گذاشتم قانون نفاریو
05.06.98-exp-335	در واقع همین الآن به این قانون پی بردم
05.06.98-exp-336	تو هم دیدی ؟
05.06.98-exp-337	این‌جا رو هی
05.06.98-exp-338	شماها اون پشت دارین چی‌کار می‌کنین ؟
05.06.98-exp-339	مراقب باشین
05.06.98-exp-34	ولی باید شیرینی‌ها رو بفروشیم .
05.06.98-exp-340	تا جایی که می‌تونی بهش نزدیک شو
05.06.98-exp-341	می‌گیریمش
05.06.98-exp-342	شماها باید بپرین . بپریم ؟
05.06.98-exp-343	دیوونه شدی ؟
05.06.98-exp-344	نترسین ، من می‌گیرم‌تون
05.06.98-exp-345	تو ما رو برگردوندی یتیم‌خونه
05.06.98-exp-346	می‌دونم . این بزرگ‌ترین اشتباهی بود که در عمرم کردم
05.06.98-exp-347	ولی شما باید بپرین
05.06.98-exp-348	چیزی‌مون نمی‌شه
05.06.98-exp-349	حالا بپر
05.06.98-exp-35	ما تا وقتی که به کلاس رقص نریم ، هیچ شیرینی‌ای نمی‌فروشیم .
05.06.98-exp-350	مارگو می‌گیرمت و هیچ‌وقت نمی‌ذارم دوباره از پیشم بری
05.06.98-exp-351	نه به این سرعت ، نه
05.06.98-exp-352	بذار برم
05.06.98-exp-353	مارگو دارم می‌آم ، طاقت بیار
05.06.98-exp-354	گرفتمت
05.06.98-exp-355	این بار ، موفقیت بزرگ
05.06.98-exp-356	ماه دوباره به محل درستش در آسمون برگشت
05.06.98-exp-357	یه بار دیگه ، مقامات دولتی گیج شدن و همه رو در عجب گذاشتن که این قهرمان افسانه‌ای کیه ؟
05.06.98-exp-358	بعد از این می‌خواد چی‌کار کنه ؟
05.06.98-exp-359	باید برامون قصه بگی ، قصه‌ی سه بچه‌گربه‌ی خواب‌آلو
05.06.98-exp-36	خب ، من شما رو به کلاس رقص نمی‌برم
05.06.98-exp-360	متأسفانه اون کتاب به‌طور تصادفی ، از روی بدخواهی از بین رفت
05.06.98-exp-361	امشب ما یه کتاب تازه می‌خونیم
05.06.98-exp-362	این کتاب اسمش هست یه اسب تک‌شاخ بزرگ
05.06.98-exp-363	نویسنده‌اش ، کی این کتاب رو نوشته ؟
05.06.98-exp-364	من نوشتمش . نگا : اینم یه کتاب انگشتیه
05.06.98-exp-365	ایناها ، نگا کنین
05.06.98-exp-366	این شاخشه
05.06.98-exp-367	این بهترین کتاب دنیا می‌شه
05.06.98-exp-368	نه این‌که بخوام تعریف خودم رو بکنم ولی واقعاً همین‌طور خواهد شد
05.06.98-exp-369	شروع می‌کنم
05.06.98-exp-37	پس اگه می‌خواین به کلاس رقص برین ، باید خودتون پیاده برین
05.06.98-exp-370	یه اسب تک‌شاخ بزرگ ، قوی و آزاد
05.06.98-exp-371	فکر می‌کرد که زندگی خیلی خوبی داره
05.06.98-exp-372	بعدش سه تا بچه‌گربه‌ی کوچولو پیداشون شد و زندگی اونو زیر و رو کردن
05.06.98-exp-373	اون یکی شبیه منه
05.06.98-exp-374	چی داری می‌گی ؟ این‌ها بچه‌گربه هستن
05.06.98-exp-375	هرگونه شباهتی به افراد زنده یا مرده ، کاملاً تصادفی بوده است .
05.06.98-exp-376	اون‌ها باعث خنده‌اش می‌شدن
05.06.98-exp-377	اون‌ها باعث گریه‌اش می‌شدن
05.06.98-exp-378	اون هیچ‌وقت نباید ازشون خداحافظی می‌کرد
05.06.98-exp-379	حالا می‌دونه که هیچ‌وقت نمی‌تونه از اون سه تا بچه‌گربه‌ی کوچولو که باعث شدن اون آدم خوبی بشه جدا بشه
05.06.98-exp-38	چی‌کار می‌کنین ؟
05.06.98-exp-380	دوستت دارم
05.06.98-exp-381	منم دوستت دارم
05.06.98-exp-382	مگه الآن تو رو نبوسیدم ؟
05.06.98-exp-383	کارشون معرکه است
05.06.98-exp-384	بهت افتخار می‌کنم پسر
05.06.98-exp-385	تبدیل به پدر خوبی می‌شی
05.06.98-exp-386	درست مثل خودم
05.06.98-exp-388	چی ؟ نه ممنون . یه نفر دیگه رو انتخاب کن .
05.06.98-exp-389	هی ، کارل !
05.06.98-exp-39	پیاده به کلاس رقص می‌ریم
05.06.98-exp-390	برگردین سر کارتون !
05.06.98-exp-391	بوگیس و بونس و بین
05.06.98-exp-392	یکی چاق ، یکی کوتاه ، یکی لاغر
05.06.98-exp-393	این آدم‌های وحشت‌ناک
05.06.98-exp-394	قیافه‌شون خیلی متفاوته
05.06.98-exp-395	با این وجود همه‌شون به یه اندازه بدجنسن
05.06.98-exp-396	آقای روباه شگفت‌انگیز
05.06.98-exp-397	بالای تپه‌ای در تنسی به دنیا اومد
05.06.98-exp-398	سرسبزترین ایالت سزمین آزاد
05.06.98-exp-399	همه‌ی درخت‌ها رو می‌شناخت چون توی جنگل بزرگ شده بود .
05.06.98-exp-4	اون‌ها ، برادرزاده‌هام هستن
05.06.98-exp-40	بسیار خب ، خوبه .
05.06.98-exp-400	وقتی که سه ساله بود یه کافه رو می‌گردوند
05.06.98-exp-401	دیوی کروکت ، پادشاه خط مقدم وحشی‌ها
05.06.98-exp-402	دست خالی در جنگ اینجون مبارزه کرد
05.06.98-exp-403	تا زمانی که کریک‌ها شکست خوردن و صلح برقرار شد
05.06.98-exp-404	تا وقتی که …
05.06.98-exp-405	دکتر چی گفت ؟ هیچی
05.06.98-exp-407	چند تا قرص بهم داد
05.06.98-exp-408	بهت که گفته بودم : احتمالاً یه غضروف خراب خورده بودی
05.06.98-exp-409	از میان‌بر بریم یا از جاده‌ی قشنگ ؟
05.06.98-exp-41	بهتره همین‌طور راه برین ، چون من واقعاً شما رو با ماشین نمی‌برم
05.06.98-exp-410	بیا از میان‌بر بریم
05.06.98-exp-411	اما جاده خیلی قشنگ‌تره
05.06.98-exp-412	بسیار خب ، از جاده‌ی قشنگ می‌ریم ، عالیه
05.06.98-exp-413	در واقع کمی زودتر می‌رسیم به‌هرحال
05.06.98-exp-414	اسکواب ( نوعی کبوتر کوچک ) چیه ؟ نمی‌دونی اسکواب چیه ؟
05.06.98-exp-415	مثل کبوتره ، فکر کنم
05.06.98-exp-416	ما از سوراخ زیر حصار اسب بریم تو
05.06.98-exp-417	یا از روی نرده‌ی مسیر اسب بپریم ؟
05.06.98-exp-418	خب ، فکر می‌کنم حصار اسب ، احتمالاً امن‌تره
05.06.98-exp-419	اما مسیر اسب مستقیماً به قفس اسکواب می‌رسه
05.06.98-exp-42	شماها با خشم گورو مواجه خواهید شد
05.06.98-exp-420	چی شده ؟ یه کم ترسو شدی
05.06.98-exp-421	نگران نباش ، من قبل از این‌که بتونم تاتی‌تاتی راه برم ، پرنده می‌دزدیم
05.06.98-exp-422	راستی ، امشب به‌طور غیرقابل‌باوری خوش‌گل شدی
05.06.98-exp-423	عملاً داری می‌درخشی
05.06.98-exp-424	شاید به‌خاطر نور باشه
05.06.98-exp-425	من آن‌قدر زیاد در این ده‌کده بودم که در شهر فکر می‌کردن …
05.06.98-exp-426	فکر می‌کردن که من رفتم و گم شدم و برای مدت‌ها ناشناس بودم
05.06.98-exp-427	سال‌ها پیش عاشق شدم
05.06.98-exp-428	عاشق یه دختر معصوم
05.06.98-exp-429	از خانواده‌ای اسپانیایی بومی
05.06.98-exp-43	جدی می‌گم . تا سه می‌شمرم و شماها بهتره سوار این ماشین بشین
05.06.98-exp-430	خانواده‌ای از قهرمان‌ها و تبه‌کارها
05.06.98-exp-431	یه شب کاتالیان جنگی به راه انداخت
05.06.98-exp-432	اون درست زیر بارون گلوله بود که هر لحظه ممکن بود اون رو بکشه
05.06.98-exp-433	اما اون هنوز در شب می‌رقصید
05.06.98-exp-434	بدون ترس از این‌که اون‌ها توی ، یه شهر پر از قهرمان و تبه‌کار چه کار می‌کنن
05.06.98-exp-435	فکر کنم یه تله‌ی روباهه
05.06.98-exp-436	از اون‌جا فرار کن
05.06.98-exp-437	این یه تله‌ی فنریه ؟
05.06.98-exp-438	فکر کنم اگه از اون‌جا بیای و کنار در قفس وایسی …
05.06.98-exp-439	این وسیله‌ی کوچیک ، ماشه رو می‌کشه
05.06.98-exp-44	شروع کردم : یک … دو ، سه ، چهار و پنج
05.06.98-exp-440	از اون‌جا برو کنار ، عزیزم
05.06.98-exp-441	اون‌جا درست جاییه که تله می‌افته . ولش کن ! بیا بریم
05.06.98-exp-442	نه ، این درست افتاد پایین این‌جا
05.06.98-exp-443	فکر کنم ، این تله‌ی فنری نبود ، من حامله‌ام
05.06.98-exp-444	ما یه توله خواهیم داشت
05.06.98-exp-445	عزیزم ، خبر خیلی خوبی بود . اگه تا فردا زنده موندیم
05.06.98-exp-446	اگه تا فردا صبح زنده باشیم
05.06.98-exp-447	شغل دیگه‌ای برای زندگی پیدا می‌کنم
05.06.98-exp-449	بچه‌ها بزرگ می‌شن
05.06.98-exp-45	بلند کنین و بکشید
05.06.98-exp-450	می‌دونی ؟ یک دفعه بزرگ می‌شن
05.06.98-exp-451	از سال‌ها پیش به آرومی شروع کردن
05.06.98-exp-452	سر تا پا سالم و خوش و باهوش
05.06.98-exp-453	اصلاً کسی مقاله‌های منو می‌خونه ؟
05.06.98-exp-454	دوستات درباره‌ش حرف می‌زنن ؟ البته
05.06.98-exp-455	در واقع دوست‌دختر قبلی خرگوش ، همین هفته‌ی قبل بهم گفت
05.06.98-exp-456	من باید ستون روزنامه‌ی روباه رو بخونم اما اون‌ها روزنامه به دست‌شون نمی‌رسه
05.06.98-exp-457	بیا صبحونه‌ات رو بخور . این کاغذ پاره به چه دردشون می‌خوره ؟
05.06.98-exp-458	من مریضم ، تو مریض نیستی
05.06.98-exp-459	من تب دارم ، تو تب نداری
05.06.98-exp-46	بگیرش ، این چیه ؟
05.06.98-exp-460	من نمی‌خوام برم . عجله کن ، داره دیرت می‌شه .
05.06.98-exp-461	از روش کنار اومدنت باهاش خوشم می‌آد
05.06.98-exp-462	خانه‌ای در درخت ، منظره‌ی عالی ، درخت راش کلاسیک
05.06.98-exp-464	می‌خوام خیلی باهاش خوب باشی
05.06.98-exp-465	چون اون الآن شرایط بدی داره
05.06.98-exp-466	اون قراره کجا بخوابه ؟
05.06.98-exp-467	ما یه تخت براش توی اتاق تو می‌ذاریم
05.06.98-exp-468	من جام کمه ، بفرستیدش اتاق مطالعه‌ی پدر
05.06.98-exp-469	اتاق مطالعه‌ی پدر رو پدر اشغال کرده
